channel,modulation,equaliser,snr_db,ber
AWGN,QPSK,ZF,0,2.563000e-01
AWGN,QPSK,ZF,2,1.919500e-01
AWGN,QPSK,ZF,4,1.184000e-01
AWGN,QPSK,ZF,6,6.500000e-02
AWGN,QPSK,ZF,8,2.435000e-02
AWGN,QPSK,ZF,10,8.200000e-03
AWGN,QPSK,ZF,12,9.500000e-04
AWGN,QPSK,ZF,14,1.000000e-04
AWGN,QPSK,ZF,16,0.000000e+00
AWGN,QPSK,ZF,18,0.000000e+00
AWGN,QPSK,ZF,20,0.000000e+00
AWGN,QPSK,ZF,22,0.000000e+00
AWGN,QPSK,ZF,24,0.000000e+00
AWGN,16-QAM,ZF,0,3.527000e-01
AWGN,16-QAM,ZF,2,3.052750e-01
AWGN,16-QAM,ZF,4,2.588750e-01
AWGN,16-QAM,ZF,6,2.040500e-01
AWGN,16-QAM,ZF,8,1.555000e-01
AWGN,16-QAM,ZF,10,1.110500e-01
AWGN,16-QAM,ZF,12,6.930000e-02
AWGN,16-QAM,ZF,14,3.265000e-02
AWGN,16-QAM,ZF,16,1.255000e-02
AWGN,16-QAM,ZF,18,2.850000e-03
AWGN,16-QAM,ZF,20,3.500000e-04
AWGN,16-QAM,ZF,22,0.000000e+00
AWGN,16-QAM,ZF,24,0.000000e+00
TDL-C,QPSK,ZF,0,3.642375e-01
TDL-C,QPSK,ZF,3,2.836187e-01
TDL-C,QPSK,ZF,6,2.367375e-01
TDL-C,QPSK,ZF,9,1.884562e-01
TDL-C,QPSK,ZF,12,1.601000e-01
TDL-C,QPSK,ZF,15,1.293813e-01
TDL-C,QPSK,ZF,18,9.933750e-02
TDL-C,QPSK,ZF,21,9.840000e-02
TDL-C,QPSK,ZF,24,7.594375e-02
TDL-C,QPSK,ZF,27,1.089875e-01
TDL-C,QPSK,ZF,30,9.535000e-02
TDL-C,QPSK,MMSE,0,3.619750e-01
TDL-C,QPSK,MMSE,3,2.779750e-01
TDL-C,QPSK,MMSE,6,2.018437e-01
TDL-C,QPSK,MMSE,9,1.579125e-01
TDL-C,QPSK,MMSE,12,1.488250e-01
TDL-C,QPSK,MMSE,15,1.356563e-01
TDL-C,QPSK,MMSE,18,7.931250e-02
TDL-C,QPSK,MMSE,21,1.168750e-01
TDL-C,QPSK,MMSE,24,8.138125e-02
TDL-C,QPSK,MMSE,27,1.080000e-01
TDL-C,QPSK,MMSE,30,7.959375e-02
TDL-C,16-QAM,ZF,0,4.112438e-01
TDL-C,16-QAM,ZF,3,3.717281e-01
TDL-C,16-QAM,ZF,6,3.135000e-01
TDL-C,16-QAM,ZF,9,2.685750e-01
TDL-C,16-QAM,ZF,12,2.331844e-01
TDL-C,16-QAM,ZF,15,1.786750e-01
TDL-C,16-QAM,ZF,18,1.816125e-01
TDL-C,16-QAM,ZF,21,1.614406e-01
TDL-C,16-QAM,ZF,24,1.892906e-01
TDL-C,16-QAM,ZF,27,1.813000e-01
TDL-C,16-QAM,ZF,30,1.916719e-01
